Reference, Quantity, Value, Footprint, Datasheet, LCSC Part #, Reichelt
BT1 ,1,"Battery","libraries:CR2477_Surface_Mount",""
C1 C2 C3 C7 ,4,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C49678",""
C10 C9 C8 C13 ,4,"10p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C1785",""
C11 C12 ,2,"9p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
C14 ,1,"330µ","Capacitor_SMD:CP_Elec_6.3x5.8","~"
C15 ,1,"4u7","Capacitor_SMD:C_0402_1005Metric","~","C23733",""
C22 C21 C20 C19 C18 C17 C16 ,7,"100n","Capacitor_SMD:C_0402_1005Metric","~","C1525",""
C23 ,1,"12p","Capacitor_SMD:C_0402_1005Metric","~","C1547",""
C24 ,1,"15p","Capacitor_SMD:C_0402_1005Metric","~","C1548",""
C25 C28 ,2,"1p5","Capacitor_SMD:C_0402_1005Metric","~","C1552",""
C26 ,1,"1p","Capacitor_SMD:C_0402_1005Metric","~","C1550",""
C27 ,1,"100p","Capacitor_SMD:C_0402_1005Metric","~","C1546",""
C29 ,1,"3p3","Capacitor_SMD:C_0402_1005Metric","~","C1565",""
C4 C5 C6 ,3,"10n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C1710",""
D1 ,1,"LED Red","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C84256",""
D2 ,1,"LED Green","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C2297",""
IC1 ,1,"ATMEGA328P-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","","C14877",""
IC2 ,1,"CC1101","libraries:CC1101_Module",""
IC3 ,1,"CC1101_Chip","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","","C29953",""
J1 ,1,"Glass Breakage Detector","Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal","https://cdn-reichelt.de/documents/datenblatt/C100/JST_XH_DB_EN.pdf","","https://www.reichelt.de/jst-stiftleiste-gerade-1x2-polig-xh-jst-xh2p-st-p185073.html?&trstct=pol_1&nbc=1"
J2 ,1,"ANT","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
JP1 JP2 ,2,"Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~"
L1 L2 L5 L6 ,4,"12nH","Inductor_SMD:L_0402_1005Metric","~","C24563",""
L3 L4 ,2,"18nH","Inductor_SMD:L_0402_1005Metric","~","C24562",""
P4 ,1,"ISP Bottom","libraries:ISP_Side",""
P5 ,1,"ISP Top","libraries:ISP_Side",""
P6 ,1,"FTDI","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
P7 ,1,"ISP 10","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
Q1 Q2 ,2,"Si2305CDS","Package_TO_SOT_SMD:SOT-23","","C37577",""
R1 R9 R10 ,3,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17414",""
R2 R3 ,2,"1k5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C4310",""
R4 R5 R6 R7 ,4,"1M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17514",""
R8 ,1,"56k","Resistor_SMD:R_0402_1005Metric","~","C25796",""
SW1 ,1,"Reset","libraries:MicroSwitch_3x4",""
SW2 ,1,"Config","libraries:MicroSwitch_3x4",""
U1 U2 U3 ,3,"TLE4913","Package_TO_SOT_SMD:SOT-23","","C126654",""
X1 ,1,"Resonator","Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm","","C91747",""
Y1 ,1,"Crystal_Small","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","https://www.mouser.de/datasheet/2/137/C-255_en-1649561.pdf"
