Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.230000,-111.380000,270.000000,bottom
"C2","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.600000,-108.090000,270.000000,bottom
"C3","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.130000,-97.200000,180.000000,bottom
"C4","10n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.860000,-87.900000,90.000000,bottom
"C5","10n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.890000,-112.060000,90.000000,bottom
"C6","10n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.260000,-97.030000,180.000000,bottom
"C7","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.170000,-116.410000,180.000000,bottom
"C8","10p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.040000,-87.930000,270.000000,bottom
"C9","10p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.940000,-112.090000,270.000000,bottom
"C10","10p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.220000,-104.800000,0.000000,bottom
"C11","9p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.520000,-110.060000,180.000000,bottom
"C12","9p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.570000,-107.680000,180.000000,bottom
"C13","10p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.803000,-121.793000,270.000000,bottom
"C15","4u7","C_0402_1005Metric",75.882500,-88.519000,0.000000,bottom
"C16","100n","C_0402_1005Metric",72.771000,-82.844500,90.000000,bottom
"C17","100n","C_0402_1005Metric",75.842000,-87.439500,0.000000,bottom
"C18","100n","C_0402_1005Metric",73.850500,-82.844500,90.000000,bottom
"C19","100n","C_0402_1005Metric",69.469000,-82.844500,90.000000,bottom
"C20","100n","C_0402_1005Metric",70.413880,-90.241120,180.000000,bottom
"C21","100n","C_0402_1005Metric",67.691000,-85.725000,90.000000,bottom
"C22","100n","C_0402_1005Metric",68.280280,-90.302080,270.000000,bottom
"C23","12p","C_0402_1005Metric",65.318500,-89.852500,0.000000,bottom
"C24","15p","C_0402_1005Metric",64.805560,-84.678520,180.000000,bottom
"C25","1p5","C_0402_1005Metric",72.684500,-80.200500,180.000000,bottom
"C26","1p","C_0402_1005Metric",71.143000,-81.280000,180.000000,bottom
"C27","100n","C_0402_1005Metric",68.008500,-79.715500,90.000000,bottom
"C28","1p5","C_0402_1005Metric",70.040500,-78.653500,270.000000,bottom
"C29","3p3","C_0402_1005Metric",72.644000,-77.152500,0.000000,bottom
"IC1","ATMEGA328P-A","TQFP-32_7x7mm_P0.8mm",74.640000,-109.050000,0.000000,bottom
"IC3","CC1101_Chip","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",71.501000,-87.058500,90.000000,bottom
"L1","12nH","L_0402_1005Metric",71.691500,-82.844500,90.000000,bottom
"L2","12nH","L_0402_1005Metric",70.548500,-82.867500,90.000000,bottom
"L3","18nH","L_0402_1005Metric",69.573000,-80.200500,180.000000,bottom
"L4","18nH","L_0402_1005Metric",72.199500,-78.653500,90.000000,bottom
"L5","12nH","L_0402_1005Metric",71.120000,-77.660500,90.000000,bottom
"L6","12nH","L_0402_1005Metric",69.590500,-77.152500,180.000000,bottom
"Q1","Si2305CDS","SOT-23",78.018640,-100.304600,180.000000,bottom
"Q2","Si2305CDS","SOT-23",87.279440,-87.771480,270.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.110000,-116.410000,0.000000,bottom
"R2","1k5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.250000,-101.640000,270.000000,bottom
"R3","1k5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.440000,-101.650000,270.000000,bottom
"R4","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.150000,-87.930000,90.000000,bottom
"R5","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.120000,-112.090000,90.000000,bottom
"R6","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.240000,-102.710000,180.000000,bottom
"R7","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.644000,-121.793000,270.000000,bottom
"R8","56k","R_0402_1005Metric",76.906120,-86.354920,180.000000,bottom
"R9","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.746600,-100.294440,90.000000,bottom
"R10","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",84.180680,-89.744440,90.000000,bottom
"U1","TLE4913","SOT-23",100.000000,-88.000000,0.000000,bottom
"U2","TLE4913","SOT-23",100.000000,-112.000000,0.000000,bottom
"U3","TLE4913","SOT-23",62.150000,-99.875000,90.000000,bottom
"X1","Resonator","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",65.392000,-87.253500,90.000000,bottom
"Y1","Crystal_Small","Crystal_SMD_3215-2Pin_3.2x1.5mm",67.180000,-106.970000,270.000000,bottom
"C14","330µ","CP_Elec_6.3x5.8",74.485500,-75.374500,90.000000,top
"D1","LED Red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.175000,-73.550000,270.000000,top
"D2","LED Green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.250000,-73.525000,270.000000,top
